name,address,city,state,zip,lat,long,ratings,# of people,open
Kalina's Coffee & European Food,6393 Dr Martin Luther King Jr St N,Saint Petersburg,FL,33702,27.8306031,-82.6459418,4.5,9,1
Kara Lynn's Kitchen,421 Cleveland St,Clearwater,FL,33755,27.96545854,-82.80085598,4.5,136,1
Ken Sushi & Asian Bistro,2801 Gulf To Bay Blvd,Clearwater,FL,33759,27.96045865,-82.72139047,4.5,385,1
"La Chiquita, Taqueria Y Panaderia","1907 Drew St, Ste A",Clearwater,FL,33765,27.9676957,-82.758486,4.5,9,1
La Deja Vu Bistro,401 1st Ave N,Saint Petersburg,FL,33701,27.7722913,-82.6386673,4.5,34,1
La Mordida Restaurant Bar & Grill,"14100 US Hwy 19 N, Ste 114",Clearwater,FL,33764,27.899697,-82.728351,4.5,178,1
La Reyna De Michoacan Ice Cream,1949 Drew St,Clearwater,FL,33765,27.9676865,-82.7562841,4.5,28,1
Lorene's Fish & Crab House,929 22nd St S,Saint Petersburg,FL,33712,27.7604831,-82.6631758,4.5,17,1
Mandarin Hide,231 Central Ave,Saint Petersburg,FL,33701,27.7712129,-82.6360337,4.5,219,1
Manos Bakery Cafe,1971 Drew St,Clearwater,FL,33765,27.9676725,-82.7554531,4.5,112,1
Marion's,1301 4th St N,Saint Petersburg,FL,33701,27.7851129,-82.6382452,4.5,9,1
Mid Peninsula Seafood,400 49th St S,Saint Petersburg,FL,33707,27.7670324,-82.6995131,4.5,214,1
MNM BBQ,,Saint Petersburg,FL,33704,27.7929237,-82.6321376,4.5,153,1
Mr Weirdo's American Food,12397 Seminole Blvd,Clearwater,FL,33778,27.8854508,-82.7867446,4.5,10,1
Muddy Water Kava & Tea,6111 10th St N,Saint Petersburg,FL,33703,27.827764,-82.6476299,4.5,39,1
Neighborhood Joe,2609 Dr Mlk Jr St N,Saint Petersburg,FL,33704,27.7959993,-82.6465446,4.5,81,1
Olga's Restaurant,1449 S Belcher Rd,Clearwater,FL,33764,27.95576482,-82.75896573,4.5,43,1
Overflow Brewing Company,770 1st Ave N,Saint Petersburg,FL,33701,27.7718397,-82.6445672,4.5,32,1
Pacific Counter,660 Central Ave,Saint Petersburg,FL,33701,27.770927,-82.642797,4.5,410,1
Paul's Chicago Pizza,11002 4th St N,Saint Petersburg,FL,33716,27.8724075,-82.6395728,4.5,189,1
Pearly's Beach Eats,45 Papaya St,Clearwater,FL,33767,27.97992895,-82.82631661,4.5,864,1
Phoebus Tattoos Studio,10710 Gandy Blvd N,Saint Petersburg,FL,33702,27.867547,-82.622491,4.5,8,1
Pizza Box,923 Central Ave,Saint Petersburg,FL,33705,27.7713564,-82.6473901,4.5,297,1
Planet Tan,"1570 N McMullen Booth Rd, Ste H4",Clearwater,FL,33759,27.981972,-82.711079,4.5,12,1
Plateroti Italian Gourmet Inc,1621 Gulf To Bay Blvd,Clearwater,FL,33755,27.9603395,-82.7698708,4.5,24,1
Residence Inn by Marriott Clearwater Downtown,940 Court St,Clearwater,FL,33756,27.961903,-82.793391,4.5,50,1
Sage Wellness Spa,6490 Central Ave,Saint Petersburg,FL,33707,27.7705106,-82.7261778,4.5,61,1
Salon Blond,136 Island Way,Clearwater,FL,33767,27.977892,-82.8164087,4.5,6,1
Salon South Beach,781 Bayway Blvd,Clearwater,FL,33755,27.9665823,-82.8225734,4.5,19,1
Sammy's Seafood,2875 46th Ave N,Saint Petersburg,FL,33714,27.8141106,-82.6721617,4.5,15,1
Sam's Gyros and Seafood,4745 22nd Ave S,Saint Petersburg,FL,33711,27.7485497,-82.6984378,4.5,9,1
Sandshakers,700 Eldridge St,Clearwater,FL,33755,27.9727795,-82.7970404,4.5,9,1
Schakolad Chocolate Factory,401 Central Ave,Saint Petersburg,FL,33701,27.7714113,-82.6387028,4.5,53,1
Sofia's Greek Grill,1446 Belcher Rd S,Clearwater,FL,33764,27.943739,-82.746418,4.5,116,1
Soma,"27001 US Highway 19 N, Spc 2019, Westfield Countryside",Clearwater,FL,33761,28.0174917,-82.73372507,4.5,8,1
Southern Steer Butcher Clearwater,30214 US Hwy 19 N,Clearwater,FL,33761,28.0473902,-82.7404037,4.5,97,1
St. Pete Fishing Outfitter,3450 34th St N,Saint Petersburg,FL,33713,27.803617,-82.6799444,4.5,9,1
Sushi Sho Rexley,214 2nd St N,Saint Petersburg,FL,33701,27.7739625,-82.6357933,4.5,121,1
Taqueria Viva Mexico,1740 Drew St,Clearwater,FL,33755,27.9682547,-82.7652794,4.5,15,1
Tea Lounge,"14100 US Highway 19N, Unit 106",Clearwater,FL,33764,27.8996944,-82.7283498,4.5,65,1
The Cooler,19 Rockaway St,Clearwater,FL,33767,27.98354,-82.82731439,4.5,18,1
The Salty Crab Bar & Grill - North Beach,462 Mandalay Ave,Clearwater Beach,FL,33767,27.9807339,-82.8273506,4.5,154,1
The Tavern at Bayboro,120 6th Ave S,Saint Petersburg,FL,33701,27.7642182,-82.6342256,4.5,62,1
Tin Can Cafe,307 S Myrtle Ave,Clearwater,FL,33756,27.96242,-82.7956614,4.5,207,1
Trader Joe's,2742 4th St N,Saint Petersburg,FL,33704,27.7974016,-82.6388275,4.5,131,1
Tyrone Restaurant,7815 38th Ave N,Saint Petersburg,FL,33710,27.8066883,-82.7462764,4.5,31,1
Umai Cafe,601 South Fort Harrison Ave,Clearwater,FL,33756,27.9594258,-82.7997266,4.5,192,1
Vincenza's Holistic Spa,5234 Central Ave,Saint Petersburg,FL,33707,27.7706635,-82.7047132,4.5,6,1
Wildflower Cafe,1465 S Fort Harrison Ave,Clearwater,FL,33756,27.9438404,-82.7994923,4.5,519,1
Windward Bar and Grill,282 Windward Passage,Clearwater Beach,FL,33767,27.97760489,-82.81744317,4.5,80,1
Wonder Water Sports Cards & Comics,29113 US Hwy 19 N,Clearwater,FL,33761,28.0365224,-82.7375377,4.5,7,1
Big C's BBQ,1035 9th St S,Saint Petersburg,FL,33705,27.76003723,-82.64675333,5,23,1
Bill's La Habana Cigar Club,"770 Pasadena Ave S, Ste B",Saint Petersburg,FL,33707,27.7628259,-82.7344508,5,12,1
City's Bistro,695 Central Ave,Saint Petersburg,FL,33701,27.7714065,-82.6437021,5,112,1
Elias Deli & Produce Market,3200 34th St N,Saint Petersburg,FL,33713,27.8013117,-82.679839,5,11,1
European Goodies and Delicatessen,116 N Main Ave,Clearwater,FL,33765,27.96715,-82.748889,5,6,1
Homestyle Barbecue,1701 N Fort Harrison,Clearwater,FL,33755,27.9825157,-82.7963561,5,42,1
InnoVision Eye Care & Eye Wear,"2643 Gulf To Bay Blvd, Ste 1520",Clearwater,FL,33759,27.95747421,-82.7294346,5,9,1
K Club Bar & Bistro,2675 Ulmerton Rd,Clearwater,FL,33762,27.89464993,-82.66963252,5,16,1
Mangroves Cafe,"13577 Feather Sound Dr, Ste 180",Clearwater,FL,33762,27.8955257,-82.660791,5,6,1
My Favorite Art Place,1750 N Hercules Ave,Clearwater,FL,33765,27.9842343,-82.7552151,5,6,1
PB & Jelly Deli,,Saint Petersburg,FL,33701,27.7696063,-82.6321376,5,8,1
Plant Love Ice Cream,953 Central Ave,Saint Petersburg,FL,33705,27.7713117,-82.6479817,5,134,1
Salon Sardis,"406 11th Ave N, Ste 3",Saint Petersburg,FL,33701,27.7833365,-82.6389541,5,6,1
Smiley's Deli,3441 Central Ave,Saint Petersburg,FL,33713,27.7712796,-82.680339,5,116,1
Southside Coffee,3922 6th St S,Saint Petersburg,FL,33705,27.7328984,-82.6405685,5,62,1
St Petersbark,2435 9th St N,Saint Petersburg,FL,33704,27.794664,-82.6464241,5,21,1
Sugar Loaf Emporium,6115 Park Blvd N,Saint Petersburg,FL,33701,27.839635,-82.718818,5,10,1
Sweetwood Bakery,1679 Drew St,Clearwater,FL,33755,27.9677492,-82.7672802,5,5,1
The Bungaleaux on Central,2635 Central Ave,Saint Petersburg,FL,33713,27.7712404,-82.6692931,5,5,1
Tory's Cafe,1266 S Highland Ave,Clearwater,FL,33756,27.9506902,-82.7755295,5,54,1
